,Sr.No,Received Date (DD MMM YYYY),Article title,Citation Details,Reference ID,DOI,Initial Reviewer Name,Initial Review Date,Abstract/Full Text Article (FTA),Article Classification,Initial Review Comment,Quality Reviewer Name,Quality Review Date,Quality Review Comment,Full Text Request Raised (Order ID),Translation Request Raised (Order ID),Article Priority,Country Of Incidence,Valid Drugs,Invalid Drugs,Suspected Events,No. of cases to be created,Allocation Sent,Case ID,Reference number for Aggregate report as applicable,Reference number for Signal report as applicable,Additional Comments (if any)
0,,,European Headache Federation (EHF) critical re-appraisal and meta-analysis of oral drugs in migraine prevention-part 1: amitriptyline,J Headache Pain. 2023 Apr 11;24(1):39. doi: 10.1186/s10194-023-01573-6.,37038134,10.1186/s10194-023-01573-6,,,Full text,Invalid,No MA in COI_Amitriptyline_Adverse event NOS,,,No error ,,,,Austria,,Amitriptyline,Adverse event NOS,,,,,,
1,,,Therapeutic effects of mesoderm introduction of compound glycyrrhizin injection on the treatment of rosacea,Skin Res Technol. 2023 May;29(5):e13328. doi: 10.1111/srt.13328.,37231926,10.1111/srt.13328,,,Full text,Invalid,No MA in COI_Metronidazole_Drug  ineffective,,,No error,,,,China,,Metronidazole,Drug ineffective,,,,,,
2,,,The prevalence of trimester-specific dietary supplements and associated factors during pregnancy: An observational study,Front Pharmacol. 2023 Apr 6;14:1135736. doi: 10.3389/fphar.2023.1135736. eCollection 2023.,37089956,10.3389/fphar.2023.1135736,,,Full Text,Invalid,No MA in COI_Folic acid_DEDP,,,No Error,,,,China,,Folic acid,DEDP,,,,,,
3,,,Using disproportionality analysis to explore the association between periostitis and triazole antifungals in the FDA Adverse Event Reporting System Database,Sci Rep. 2023 Mar 18;13(1):4475. doi: 10.1038/s41598-023-27687-0.,36934109,10.1038/s41598-023-27687-0,,,Full Text,Invalid,No MA in COI_Voriconazole_periostitis,,,No error ,,,,China,,Voriconazole,periostitis,,,,,,
4,,,Transcriptomic and Metabolomic Profiles Provide Insights into the Red-Stipe Symptom of Morel Fruiting Bodies,J Fungi (Basel). 2023 Mar 18;9(3):373. doi: 10.3390/jof9030373.,36983541,10.3390/jof9030373,,,Abstract,Rejected,No safety information_Plant study,,,No error,,,,China,,,,,,,,,
5,,,Birth Outcomes in Pregnant Women with Epilepsy: a Nationwide Multicenter Study from T�rkiye,Epilepsia. 2023 Jun 25. doi: 10.1111/epi.17692. Online ahead of print.,37357418,10.1111/epi.17692,,,Abstract,Invalid,"No MA in COI_Carbamazepine,Levetiracetam_DEDP",,,No Error,,,,Turkey,,"Carbamazepine,Levetiracetam",DEDP,,,,,,
6,,,Improvement in persistent idiopathic facial pain with comorbid ADHD using the combination of a dopamine system stabilizer and psychostimulant: A case report,Clin Case Rep. 2023 Jun 19;11(6):e7552. doi: 10.1002/ccr3.7552. eCollection 2023 Jun.,37346882,10.1002/ccr3.7552,,,Full Text,Invalid,"No MA in COI_Aripiprazole_drooling, extrapyramidal symptoms",,,No Error,,,,Japan,,Aripiprazole,"drooling, extrapyramidal symptoms",,,,,,
7,,,Early treatment with N-acetylcysteine reduces hepatotoxicity in acute acetaminophen poisoning,Acta Biomed. 2023 May 29;94(S1):e2023033. doi: 10.23750/abm.v94iS1.13714.,37247196,10.23750/abm.v94iS1.13714,,,Full text,Invalid,No MA in COI_Paracetamol_Acute poisoning,,,No error ,,,,Italy,,Paracetamol,Acute poisoning,,,,,,
8,,,"Growth of mesenchymal stem cells at the surface of silicone, mineral and plant-based oils",Biomed Mater. 2023 Mar 17;18(3). doi: 10.1088/1748-605X/acbdda.,36808917,10.1088/1748-605X/acbdda,,,Abstract,Rejected,No safety information_Invitro study,,,No error,,,,United Kingdom,,,,,,,,,
9,,,Cardiovascular Safety of Hydroxychloroquine-Azithromycin in 424 COVID-19 Patients,Medicina (Kaunas). 2023 Apr 29;59(5):863. doi: 10.3390/medicina59050863.,37241095,10.3390/medicina59050863,,,Full Text,Invalid,No MA in COI_Azithromycin_Qtc prolongation,,,No Error,,,,France,,Azithromycin,Qtc prolongation,,,,,,
